strTaxClas,ID,strITIScode,strElCode,strGName,strSComNam,strGRank,strGRank2,strSRankAZ,strSRankAZ2,strSRankCO,strSRankCO2,strSRankNM,strSRankNM2,strSRankNV,strSRankNV2,strSRankUT,strSRankUT2,strUSESA,strSProtAZ,strSProtCO,strSProtNM,strSProtNV,strSProtUT,strSGCNAZ,strSGCNCO,strSGCNNV,strSGCNNM,strSGCNUT,strPIF09,strPIF10,strPIF16,strPIF18,strPIF33,strPIF34,strPIF35,strSWReGAPmodel
AVES,191,178608,ABPBG10020,"Cistothorus palustris","MARSH WREN",G5,,"S2B, S3S4N","S2B, S3S4N",S3B,S3B,"S1B,S5N","S1B,S5N",S4N,,"S3S4B,S3N","S3S4B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,154,178610,ABPBG04010,"Catherpes mexicanus","CANYON WREN",G5,,S5,,S5,,"S5B,S5N",,S4S5,,S4S5,,,,,,,,1,,,,,,,RC,,,RS,RS,1
AVES,637,178614,ABPBG03010,"Salpinctes obsoletus","ROCK WREN",G5,,S5,,S4,,"S5B,S5N",,S5,,"S4S5B,S3N","S4S5B,S3N",,,,,,,1,,,,,RS,,RS,,RS,,,1
AVES,446,178620,ABPBK03010,"Mimus polyglottos","NORTHERN MOCKINGBIRD",G5,,S5,,S5,,"S5B,S5N",,S5B,,"S4S5B,S3N","S4S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,279,178625,ABPBK01010,"Dumetella carolinensis","GRAY CATBIRD",G5,,S1,S1,S4B,,"S3B,S4N","S3B,S4N",SNA,,S1?B,S1?B,,WSC,,,,,1,,,,,,,,,,,,1
AVES,781,178627,ABPBK06010,"Toxostoma rufum","BROWN THRASHER",G5,,S1N,S1N,S4,,S4N,,,,S2S3N,S2S3N,,,,,,,,,,,,,,,,,,,1
AVES,777,178636,ABPBK06050,"Toxostoma bendirei","BENDIRE'S THRASHER",G4G5,,S4,,,,"S3B,S3N","S3B,S3N",S1,S1,S2S3B,S2S3B,,,,,,,1,,1,1,1,,,"CC,RC,RS",,"CC,RC,RS",CC,,1
AVES,779,178637,ABPBK06070,"Toxostoma curvirostre","CURVE-BILLED THRASHER",G5,,S5,,S3,S3,"S5B,S5N",,,,,,,,,,,,,1,,,,,,,,"CS,RS",,,1
AVES,780,178645,ABPBK06100,"Toxostoma lecontei","LE CONTE'S THRASHER",G3,G3,S3,S3,,,,,S2,S2,,,,,,,,,1,,1,,,,,,,"CC,CS,RS",,,1
AVES,778,178652,ABPBK06090,"Toxostoma crissale","CRISSAL THRASHER",G5,,S5,,,,"S4B,S5N",,S3,S3,"SHB,S2N","SHB,S2N",,,,,,,1,,1,,1,,,,,"CS,RS","CS,RS","CS,RS",1
